,date,latitude,longitude,numberofcases,comments,x_coord,y_coord,region
25,2016-01-01,1.3455685,103.9398229,8,Tampines Street 91 (Blk 932),39852.8033203,36411.9767138,EAST
26,2016-01-01,1.3476439,103.9404331,8,Tampines Street 91 (Blk 933),39920.7019056,36641.4672141,EAST
27,2016-01-01,1.3476439,103.9404331,1,Tampines Street 91 (Blk 934),39920.7019056,36641.4672141,EAST
28,2016-01-01,1.365865,103.9543875,2,Pasir Ris Street 11 (Blk 110),41473.5741173,38656.340736,EAST
29,2016-01-01,1.365865,103.9543875,3,Pasir Ris Street 11 (Blk 111),41473.5741173,38656.340736,EAST
30,2016-01-01,1.365865,103.9543875,10,Pasir Ris Street 11 (Blk 112),41473.5741173,38656.340736,EAST
31,2016-01-01,1.365865,103.9543875,4,Pasir Ris Street 11 (Blk 113),41473.5741173,38656.340736,EAST
32,2016-01-01,1.3686896,103.9545084,1,Pasir Ris Street 11 (Blk 116),41487.013114,38968.6720015,EAST
33,2016-01-01,1.3678825,103.9547804,1,Pasir Ris Street 11 (Blk 117),41517.2880199,38879.4283218,EAST
34,2016-01-01,1.365865,103.9543875,3,Pasir Ris Street 11 (Blk 119),41473.5741173,38656.340736,EAST
35,2016-01-01,1.3652882,103.9580519,1,Pasir Ris Street 11 (Blk 120),41881.3823841,38592.5818268,EAST
36,2016-01-01,1.3652882,103.9580519,3,Pasir Ris Street 11 (Blk 121),41881.3823841,38592.5818268,EAST
37,2016-01-01,1.3652882,103.9580519,2,Pasir Ris Street 11 (Blk 122),41881.3823841,38592.5818268,EAST
38,2016-01-01,1.365865,103.9543875,1,Pasir Ris Street 11 (Blk 124),41473.5741173,38656.340736,EAST
39,2016-01-01,1.3653337,103.9580673,3,Pasir Ris Street 11 (Blk 126),41883.0959639,38597.6130859,EAST
40,2016-01-01,1.3652882,103.9580519,2,Pasir Ris Street 11 (Blk 127),41881.3823841,38592.5818268,EAST
41,2016-01-01,1.3652882,103.9580519,4,Pasir Ris Street 11 (Blk 128),41881.3823841,38592.5818268,EAST
42,2016-01-01,1.3652882,103.9580519,16,Pasir Ris Street 11 (Blk 129),41881.3823841,38592.5818268,EAST
43,2016-01-01,1.3652882,103.9580519,5,Pasir Ris Street 11 (Blk 132),41881.3823841,38592.5818268,EAST
44,2016-01-01,1.3652882,103.9580519,3,Pasir Ris Street 11 (Blk 133),41881.3823841,38592.5818268,EAST
45,2016-01-01,1.365865,103.9543875,3,Pasir Ris Street 11 (Blk 134),41473.5741173,38656.340736,EAST
46,2016-01-01,1.367035,103.958084,1,Pasir Ris Street 12 (Blk 101),41884.9447138,38785.73472,EAST
47,2016-01-01,1.3674845,103.957044,5,Pasir Ris Street 12 (Blk 108),41769.2023396,38835.4322707,EAST
48,2016-01-01,1.3671629,103.959539,1,Pasir Ris Street 12 (Blk 199),42046.868429,38799.8857453,EAST
49,2016-01-01,1.3694468,103.9620476,1,Pasir Ris Street 21 (Blk 213),42326.0326864,39052.4432387,EAST
50,2016-01-01,1.371025,103.96181,1,Pasir Ris Street 21 (Blk 216),42299.5812551,39226.9515857,EAST
51,2016-01-01,1.3670888,103.9529586,2,Pasir Ris Street 51 (Blk 551),41314.5474994,38791.6546428,EAST
52,2016-01-01,1.3152359,103.8553245,16,Joo Avenue,30449.0839889,33057.7054407,CENTRAL
53,2016-01-01,1.316682,103.852162,1,Kent Road (Blk 53),30097.1269994,33217.6048788,CENTRAL
54,2016-01-01,1.3177356,103.8515996,2,Mergui Road,30034.5364805,33334.1060943,CENTRAL
55,2016-01-01,1.3130285,103.8536787,1,Owen Road,30265.9242914,32813.6209264,CENTRAL
56,2016-01-01,1.3153569,103.8519835,1,Oxford Road (Kentish Court),30077.2627762,33071.0819727,CENTRAL
57,2016-01-01,1.3158816,103.852283,3,Oxford Road (Kentish Lodge),30110.5937983,33129.1008566,CENTRAL
58,2016-01-01,1.313287,103.8551175,2,Perumal Road,30426.0487622,32842.2058785,CENTRAL
